county,latlon
Hubbard-Mount Calm,
Silverton,
Houston,
Pasadena,
Bogata,
Dalhart,
Marfa,
Italy,
Midlothian,
Ferris,
Waxahachie,
Graham,
Olney,
Estelline,
Memphis,
Brownfield,33.25|257.75
Meadow,
Saratoga-Batson,
Silsbee,
Southwest Guadalupe,
Granger,
Buffalo,
Oakwood,
Blooming Grove,
Kerens,
Rice,
Stanton,
May,
Whiteface,
Stinnett,
Mexia,
Hart,
Corsicana,
Dawson,
Canadian River Breaks,
Winnie-Stowell,
Southwest Travis,
Northeast Guadalupe,
Schertz-Cibolo,
Southeast Guadalupe,
Seguin,
Adrian,
Chilton,
Perry,
Lott,
Rosebud,
Sierra Blanca,
Jacksonville,
Rusk,
Wells,
Springtown-Reno,
Weatherford Northwest,
Bryson,
Perrin,
Higgins,
Booker,
Follett,
Camp Wood-Leakey,
Deport,
Howland,
Sumner,
Texhoma,
Matador,
Llano South,
Shamrock,35.25|259.75
East Grayson,
Southwest Grayson,
West Terrell,
Goldthwaite,
Earth,
Sudan-Amherst,
Dumas,
Denver City,
Corpus Christi,
Amarillo,
Batesville,
Corpus Christi West,
Laredo South-El Cenizo,
Port Aransas,
Kress,
Austwell-Tivoli,
Refugio,
Woodsboro,
Price-Turnertown,
Overton,
Pinehill,
Hemphill,
Bivins-McLeod,
Marietta-Douglassville,33.25|265.75
East Cameron,
Rio Hondo,
Brownsville,
Los Fresnos-Laureles,
Burkeville,
Newton,
Cisco,
Boyd-Rhome,
Van Horn,31.25|255.75
Lometa,
Valentine,
Kyle-Buda,
Abernathy,
Hale Center,
Petersburg,
Plainview,
El Paso,
El Paso Northwest,
El Paso North Central,
Graford,
Palo Pinto-Santo,
Boling-Newgulf,
Wharton,
Montague-Forestburg,
Panhandle,
White Deer-Groom,
Granbury West,
Bastrop,
Smithville,
El Paso East,
Longview,
Liberty City,
West Odessa-Goldsmith,
Rockport,
Ravenna-Telephone,
Moulton,
Sonora Rural,
Broaddus,31.25|265.75
Hamilton,
Hico,
Fairfield,
Gruver,
Spearman,
Atlanta,
Butler,
Teague,
Pecos,
Balmorhea,
Gainesville,
Alba,
Hawkins,
Winnsboro,
Quitman,
Centerville,
Marquez,31.25|263.75
Northeast Travis,
Northwest Travis,
Austin,
Ingram,
Henderson,
Point,
Bryan-College Station,
South Brazos,
Northeast Brazos,
Linden,
Hughes Springs-Avinger,
Lefors,
McLean,
Pampa,
Weatherford,
Bandera,
Medina,
Cleveland,
Liberty-Dayton,
Daisetta,
Menard East,
Menard West,
North Zulch,
Midway,
Aspermont South,
Palacios,
Bay City,
McCaulley,
Rotan,
Roby,
Fredericksburg,
Stonewall,
Riverside,
Cooks Point,
Old River,
Somerville,
Post East,
O'Donnell,
Tidehaven,
Electra,
Hempstead,
Prairie View-Waller,
Gail North,
Van Horn Rural,
Big Spring,
McCamey,31.25|257.75
Rankin,
Cross Plains,
New Waverly,
Lockhart,
Martindale,
Wilson,
Brenham,
Washington-Chappell Hill,
Burton,
Jacksboro,33.25|261.75
Round Rock-Georgetown,
Cedar Park-Liberty Hill,
Blossom,
Powderly,
Biardstown,
Roxton,
Fort Worth,
China Spring,
McGregor,
Waco,
Crawford,
Elm Mott,
West,
Moody-Lorena,
Axtell,
