county,latlon
Josephine,
Curry,
Jackson,
Coos,
Klamath,
Lake,43.25|239.75
Douglas,43.25|237.75
Harney,43.25|241.75
Lane,
Deschutes,
Malheur,
Crook,
Benton,
Linn,
Jefferson,
Grant,
Lincoln,
Wheeler,
Polk,
Baker,
Marion,
Yamhill,
Clackamas,45.25|237.75
Wasco,
Hood River,
Multnomah,
Sherman,
Washington,
Tillamook,
Gilliam,45.25|239.75
Union,45.25|241.75
Morrow,
Wallowa,
Umatilla,
Columbia,
Clatsop,
